Ticker,ExitDate,ExitPrice,Notes,Date,Close,Rule
AMD,2026-01-14,223.6000061035156,RSI2>70,,,
APA,2026-01-14,26.690000534057617,RSI2>70,,,
BKR,2026-01-14,49.97999954223633,RSI2>70,,,
BMY,2026-01-14,57.02000045776367,RSI2>70,,,
COP,2026-01-14,100.33999633789062,RSI2>70,,,
CSX,2026-01-14,36.18000030517578,RSI2>70,,,
CTRA,2026-01-14,25.36000061035156,RSI2>70,,,
CVX,2026-01-14,167.24000549316406,RSI2>70,,,
D,2026-01-14,60.25,RSI2>70,,,
DOW,2026-01-14,28.26000022888184,RSI2>70,,,
DVN,2026-01-14,37.91999816894531,RSI2>70,,,
FCX,2026-01-14,60.34999847412109,RSI2>70,,,
GILD,2026-01-14,124.06999969482422,RSI2>70,,,
GOOG,2026-01-14,336.3099975585937,RSI2>70,,,
GOOGL,2026-01-14,335.8399963378906,RSI2>70,,,
HAL,2026-01-14,33.040000915527344,RSI2>70,,,
INTC,2026-01-14,48.720001220703125,RSI2>70,,,
JNJ,2026-01-14,218.5500030517578,RSI2>70,,,
KMI,2026-01-14,27.530000686645508,RSI2>70,,,
KO,2026-01-14,71.44000244140625,RSI2>70,,,
MCHP,2026-01-14,74.68000030517578,RSI2>70,,,
MDT,2026-01-14,98.73999786376952,RSI2>70,,,
MO,2026-01-14,61.470001220703125,RSI2>70,,,
MRK,2026-01-14,111.01000213623048,RSI2>70,,,
MRNA,2026-01-14,40.58000183105469,RSI2>70,,,
NEE,2026-01-14,81.9800033569336,RSI2>70,,,
NEM,2026-01-14,114.1500015258789,RSI2>70,,,
OXY,2026-01-14,44.31999969482422,RSI2>70,,,
PEP,2026-01-14,145.9199981689453,RSI2>70,,,
PFE,2026-01-14,25.57999992370605,RSI2>70,,,
RTX,2026-01-14,198.83999633789065,RSI2>70,,,
SBUX,2026-01-14,91.1500015258789,RSI2>70,,,
SLB,2026-01-14,46.970001220703125,RSI2>70,,,
TGT,2026-01-14,109.81999969482422,RSI2>70,,,
TXN,2026-01-14,193.4499969482422,RSI2>70,,,
WDC,2026-01-14,215.0,RSI2>70,,,
WMB,2026-01-14,60.709999084472656,RSI2>70,,,
WMT,2026-01-14,120.04000091552734,RSI2>70,,,
XOM,2026-01-14,130.1999969482422,RSI2>70,,,
