Ticker,ExitPrice,Notes
SPY,205.8999938964844,RSI2 exit
SPY,202.05999755859372,RSI2 exit
SPY,203.0800018310547,RSI2 exit
SPY,206.1000061035156,RSI2 exit
SPY,205.4499969482422,RSI2 exit
SPY,204.83999633789065,RSI2 exit
SPY,206.1199951171875,RSI2 exit
SPY,206.80999755859372,RSI2 exit
SPY,206.92999267578125,RSI2 exit
SPY,208.9199981689453,RSI2 exit
SPY,209.77999877929688,RSI2 exit
SPY,210.1100006103516,RSI2 exit
SPY,210.1300048828125,RSI2 exit
SPY,211.2400054931641,RSI2 exit
SPY,211.2100067138672,RSI2 exit
SPY,211.80999755859372,RSI2 exit
SPY,211.6300048828125,RSI2 exit
SPY,211.9900054931641,RSI2 exit
SPY,208.5800018310547,RSI2 exit
SPY,210.4600067138672,RSI2 exit
SPY,210.41000366210935,RSI2 exit
SPY,208.25,RSI2 exit
SPY,207.8300018310547,RSI2 exit
SPY,207.97999572753903,RSI2 exit
SPY,208.8999938964844,RSI2 exit
SPY,210.0399932861328,RSI2 exit
SPY,210.42999267578125,RSI2 exit
SPY,210.3699951171875,RSI2 exit
SPY,210.6300048828125,RSI2 exit
SPY,211.16000366210935,RSI2 exit
SPY,211.6499938964844,RSI2 exit
SPY,211.32000732421875,RSI2 exit
SPY,211.6199951171875,RSI2 exit
SPY,212.2100067138672,RSI2 exit
SPY,212.44000244140625,RSI2 exit
SPY,213.1000061035156,RSI2 exit
SPY,213.02999877929688,RSI2 exit
SPY,213.5,RSI2 exit
SPY,210.9499969482422,RSI2 exit
SPY,211.6300048828125,RSI2 exit
SPY,212.77999877929688,RSI2 exit
SPY,208.0200042724609,RSI2 exit
SPY,207.47999572753903,RSI2 exit
SPY,209.7700042724609,RSI2 exit
SPY,210.67999267578125,RSI2 exit
SPY,210.6100006103516,RSI2 exit
SPY,212.3000030517578,RSI2 exit
SPY,212.47999572753903,RSI2 exit
SPY,212.58999633789065,RSI2 exit
SPY,210.7700042724609,RSI2 exit
SPY,210.82000732421875,RSI2 exit
SPY,210.57000732421875,RSI2 exit
SPY,209.4199981689453,RSI2 exit
SPY,210.58999633789065,RSI2 exit
SPY,199.2700042724609,RSI2 exit
SPY,199.27999877929688,RSI2 exit
SPY,197.42999267578125,RSI2 exit
SPY,198.4600067138672,RSI2 exit
SPY,200.17999267578125,RSI2 exit
SPY,199.72999572753903,RSI2 exit
SPY,191.6300048828125,RSI2 exit
SPY,192.1300048828125,RSI2 exit
SPY,195.0,RSI2 exit
SPY,198.47000122070312,RSI2 exit
SPY,197.7899932861328,RSI2 exit
SPY,199.41000366210935,RSI2 exit
SPY,201.2100067138672,RSI2 exit
SPY,201.3300018310547,RSI2 exit
SPY,201.5200042724609,RSI2 exit
SPY,202.3500061035156,RSI2 exit
SPY,203.2700042724609,RSI2 exit
SPY,203.3699951171875,RSI2 exit
SPY,205.25999450683597,RSI2 exit
SPY,207.50999450683597,RSI2 exit
SPY,207.0,RSI2 exit
SPY,208.9499969482422,RSI2 exit
SPY,208.8300018310547,RSI2 exit
SPY,210.38999938964844,RSI2 exit
SPY,211.0,RSI2 exit
SPY,208.72999572753903,RSI2 exit
SPY,208.5500030517578,RSI2 exit
SPY,209.30999755859372,RSI2 exit
SPY,209.07000732421875,RSI2 exit
SPY,209.3500061035156,RSI2 exit
SPY,209.32000732421875,RSI2 exit
SPY,209.55999755859372,RSI2 exit
SPY,210.67999267578125,RSI2 exit
SPY,208.02999877929688,RSI2 exit
SPY,206.0200042724609,RSI2 exit
SPY,205.67999267578125,RSI2 exit
SPY,207.3999938964844,RSI2 exit
SPY,190.5200042724609,RSI2 exit
SPY,193.72000122070312,RSI2 exit
SPY,193.6499938964844,RSI2 exit
SPY,186.6300048828125,RSI2 exit
SPY,189.77999877929688,RSI2 exit
SPY,192.8800048828125,RSI2 exit
SPY,192.08999633789065,RSI2 exit
SPY,192.0,RSI2 exit
SPY,194.77999877929688,RSI2 exit
SPY,195.5399932861328,RSI2 exit
SPY,198.1100006103516,RSI2 exit
SPY,199.0,RSI2 exit
SPY,199.77999877929688,RSI2 exit
SPY,200.42999267578125,RSI2 exit
SPY,200.58999633789065,RSI2 exit
SPY,202.75999450683597,RSI2 exit
SPY,202.5,RSI2 exit
SPY,203.33999633789065,RSI2 exit
SPY,204.6300048828125,RSI2 exit
SPY,204.3800048828125,RSI2 exit
SPY,204.6699981689453,RSI2 exit
SPY,205.1199951171875,RSI2 exit
SPY,206.0200042724609,RSI2 exit
SPY,206.9199981689453,RSI2 exit
SPY,205.9199981689453,RSI2 exit
SPY,208.0,RSI2 exit
SPY,208.00999450683597,RSI2 exit
SPY,207.77999877929688,RSI2 exit
SPY,209.2400054931641,RSI2 exit
SPY,209.8999938964844,RSI2 exit
SPY,210.1000061035156,RSI2 exit
SPY,209.3500061035156,RSI2 exit
SPY,208.4499969482422,RSI2 exit
SPY,207.8699951171875,RSI2 exit
SPY,209.27999877929688,RSI2 exit
SPY,209.33999633789065,RSI2 exit
SPY,210.2400054931641,RSI2 exit
SPY,210.2700042724609,RSI2 exit
SPY,210.91000366210935,RSI2 exit
SPY,211.3500061035156,RSI2 exit
SPY,211.67999267578125,RSI2 exit
SPY,212.3699951171875,RSI2 exit
SPY,208.44000244140625,RSI2 exit
SPY,210.80999755859372,RSI2 exit
SPY,206.66000366210935,RSI2 exit
SPY,209.47999572753903,RSI2 exit
SPY,209.9199981689453,RSI2 exit
SPY,209.66000366210935,RSI2 exit
SPY,212.6499938964844,RSI2 exit
SPY,213.3999938964844,RSI2 exit
SPY,214.9499969482422,RSI2 exit
SPY,214.9199981689453,RSI2 exit
SPY,216.1199951171875,RSI2 exit
SPY,215.8300018310547,RSI2 exit
SPY,216.41000366210935,RSI2 exit
SPY,217.08999633789065,RSI2 exit
SPY,217.2400054931641,RSI2 exit
SPY,217.1199951171875,RSI2 exit
SPY,218.17999267578125,RSI2 exit
SPY,218.0500030517578,RSI2 exit
SPY,218.17999267578125,RSI2 exit
SPY,218.6499938964844,RSI2 exit
SPY,219.08999633789065,RSI2 exit
SPY,218.8600006103516,RSI2 exit
SPY,218.97000122070312,RSI2 exit
SPY,218.3600006103516,RSI2 exit
SPY,218.3699951171875,RSI2 exit
SPY,219.02999877929688,RSI2 exit
SPY,219.00999450683597,RSI2 exit
SPY,215.82000732421875,RSI2 exit
SPY,217.17999267578125,RSI2 exit
SPY,216.63999938964844,RSI2 exit
SPY,216.16000366210935,RSI2 exit
SPY,213.7100067138672,RSI2 exit
SPY,214.27999877929688,RSI2 exit
SPY,214.88999938964844,RSI2 exit
SPY,213.1499938964844,RSI2 exit
SPY,214.1100006103516,RSI2 exit
SPY,216.3800048828125,RSI2 exit
SPY,216.9199981689453,RSI2 exit
SPY,216.58999633789065,RSI2 exit
SPY,218.27999877929688,RSI2 exit
SPY,218.9900054931641,RSI2 exit
SPY,220.1499938964844,RSI2 exit
SPY,220.5800018310547,RSI2 exit
SPY,220.6999969482422,RSI2 exit
SPY,221.5200042724609,RSI2 exit
SPY,221.0,RSI2 exit
SPY,221.6999969482422,RSI2 exit
SPY,224.6000061035156,RSI2 exit
SPY,225.1499938964844,RSI2 exit
SPY,226.50999450683597,RSI2 exit
SPY,226.25,RSI2 exit
SPY,227.75999450683597,RSI2 exit
SPY,226.2700042724609,RSI2 exit
SPY,225.2400054931641,RSI2 exit
SPY,226.5800018310547,RSI2 exit
SPY,226.3999938964844,RSI2 exit
SPY,227.2100067138672,RSI2 exit
SPY,227.1000061035156,RSI2 exit
SPY,227.6000061035156,RSI2 exit
SPY,229.57000732421875,RSI2 exit
SPY,229.3300018310547,RSI2 exit
SPY,229.33999633789065,RSI2 exit
SPY,229.2400054931641,RSI2 exit
SPY,230.6000061035156,RSI2 exit
SPY,231.50999450683597,RSI2 exit
SPY,232.7700042724609,RSI2 exit
SPY,233.6999969482422,RSI2 exit
SPY,234.9199981689453,RSI2 exit
SPY,234.72000122070312,RSI2 exit
SPY,235.08999633789065,RSI2 exit
SPY,236.4900054931641,RSI2 exit
SPY,236.27999877929688,RSI2 exit
SPY,236.44000244140625,RSI2 exit
SPY,236.7400054931641,RSI2 exit
SPY,237.1100006103516,RSI2 exit
SPY,239.77999877929688,RSI2 exit
SPY,237.69000244140625,RSI2 exit
SPY,237.80999755859372,RSI2 exit
SPY,238.9499969482422,RSI2 exit
SPY,235.32000732421875,RSI2 exit
SPY,235.5399932861328,RSI2 exit
SPY,236.2899932861328,RSI2 exit
SPY,235.33999633789065,RSI2 exit
SPY,237.1699981689453,RSI2 exit
SPY,238.5500030517578,RSI2 exit
SPY,238.3999938964844,RSI2 exit
SPY,238.6000061035156,RSI2 exit
SPY,238.67999267578125,RSI2 exit
SPY,238.7700042724609,RSI2 exit
SPY,239.6999969482422,RSI2 exit
SPY,239.66000366210935,RSI2 exit
SPY,239.8699951171875,RSI2 exit
SPY,240.3000030517578,RSI2 exit
SPY,239.5200042724609,RSI2 exit
SPY,240.0500030517578,RSI2 exit
SPY,240.6100006103516,RSI2 exit
SPY,241.75999450683597,RSI2 exit
SPY,241.7100067138672,RSI2 exit
SPY,243.3600006103516,RSI2 exit
SPY,244.1699981689453,RSI2 exit
SPY,243.9900054931641,RSI2 exit
SPY,244.5500030517578,RSI2 exit
SPY,244.66000366210935,RSI2 exit
SPY,242.7700042724609,RSI2 exit
SPY,244.00999450683597,RSI2 exit
SPY,244.4199981689453,RSI2 exit
SPY,245.55999755859372,RSI2 exit
SPY,245.52999877929688,RSI2 exit
SPY,245.66000366210935,RSI2 exit
SPY,246.9900054931641,RSI2 exit
SPY,247.1000061035156,RSI2 exit
SPY,247.4199981689453,RSI2 exit
SPY,247.42999267578125,RSI2 exit
SPY,247.32000732421875,RSI2 exit
SPY,247.44000244140625,RSI2 exit
SPY,247.8699951171875,RSI2 exit
SPY,246.5399932861328,RSI2 exit
SPY,246.50999450683597,RSI2 exit
SPY,246.94000244140625,RSI2 exit
SPY,245.44000244140625,RSI2 exit
SPY,244.8500061035156,RSI2 exit
SPY,246.00999450683597,RSI2 exit
SPY,247.4900054931641,RSI2 exit
SPY,247.83999633789065,RSI2 exit
SPY,249.2100067138672,RSI2 exit
SPY,250.0500030517578,RSI2 exit
SPY,250.1699981689453,RSI2 exit
SPY,250.08999633789065,RSI2 exit
SPY,249.97000122070312,RSI2 exit
SPY,250.05999755859372,RSI2 exit
SPY,250.0500030517578,RSI2 exit
SPY,250.3500061035156,RSI2 exit
SPY,251.22999572753903,RSI2 exit
SPY,252.32000732421875,RSI2 exit
SPY,252.8600006103516,RSI2 exit
SPY,253.16000366210935,RSI2 exit
SPY,254.66000366210935,RSI2 exit
SPY,254.3699951171875,RSI2 exit
SPY,254.6199951171875,RSI2 exit
SPY,255.0200042724609,RSI2 exit
SPY,255.2899932861328,RSI2 exit
SPY,255.47000122070312,RSI2 exit
SPY,255.72000122070312,RSI2 exit
SPY,255.7899932861328,RSI2 exit
SPY,257.1099853515625,RSI2 exit
SPY,257.7099914550781,RSI2 exit
SPY,257.489990234375,RSI2 exit
SPY,257.5899963378906,RSI2 exit
SPY,258.45001220703125,RSI2 exit
SPY,258.8500061035156,RSI2 exit
SPY,258.6700134277344,RSI2 exit
SPY,259.1099853515625,RSI2 exit
SPY,258.6199951171875,RSI2 exit
SPY,259.989990234375,RSI2 exit
SPY,259.760009765625,RSI2 exit
SPY,260.3599853515625,RSI2 exit
SPY,260.2300109863281,RSI2 exit
SPY,262.8699951171875,RSI2 exit
SPY,262.7099914550781,RSI2 exit
SPY,265.010009765625,RSI2 exit
SPY,264.4599914550781,RSI2 exit
SPY,264.07000732421875,RSI2 exit
SPY,265.510009765625,RSI2 exit
SPY,266.3099975585937,RSI2 exit
SPY,266.7799987792969,RSI2 exit
SPY,266.75,RSI2 exit
SPY,268.20001220703125,RSI2 exit
SPY,267.8699951171875,RSI2 exit
SPY,268.7699890136719,RSI2 exit
SPY,270.4700012207031,RSI2 exit
SPY,271.6099853515625,RSI2 exit
SPY,273.4200134277344,RSI2 exit
SPY,273.9200134277344,RSI2 exit
SPY,274.5400085449219,RSI2 exit
SPY,276.1199951171875,RSI2 exit
SPY,277.9200134277344,RSI2 exit
SPY,279.6099853515625,RSI2 exit
SPY,279.1400146484375,RSI2 exit
SPY,280.4100036621094,RSI2 exit
SPY,282.69000244140625,RSI2 exit
SPY,283.2900085449219,RSI2 exit
SPY,283.17999267578125,RSI2 exit
SPY,283.29998779296875,RSI2 exit
SPY,286.5799865722656,RSI2 exit
