Ticker,ExitDate,ExitPrice,Notes,Date,Close,Rule
AES,2026-01-15,14.4399995803833,RSI2>70,,,
AMAT,2026-01-15,319.0799865722656,RSI2>70,,,
AMD,2026-01-15,227.9199981689453,RSI2>70,,,
ANET,2026-01-15,130.58999633789062,RSI2>70,,,
APH,2026-01-15,154.22000122070312,RSI2>70,,,
BA,2026-01-15,247.7400054931641,RSI2>70,,,
BKR,2026-01-15,52.0,RSI2>70,,,
CSX,2026-01-15,36.29999923706055,RSI2>70,,,
CTRA,2026-01-15,25.729999542236328,RSI2>70,,,
CVS,2026-01-15,81.36000061035156,RSI2>70,,,
D,2026-01-15,60.34000015258789,RSI2>70,,,
DAL,2026-01-15,71.33999633789062,RSI2>70,,,
DOW,2026-01-15,27.940000534057617,RSI2>70,,,
FAST,2026-01-15,43.52999877929688,RSI2>70,,,
FCX,2026-01-15,59.959999084472656,RSI2>70,,,
FITB,2026-01-15,49.02000045776367,RSI2>70,,,
HBAN,2026-01-15,17.950000762939453,RSI2>70,,,
INTC,2026-01-15,48.31999969482422,RSI2>70,,,
JNJ,2026-01-15,219.57000732421875,RSI2>70,,,
KEY,2026-01-15,21.229999542236328,RSI2>70,,,
LVS,2026-01-15,60.61000061035156,RSI2>70,,,
MDT,2026-01-15,99.0,RSI2>70,,,
MO,2026-01-15,61.58000183105469,RSI2>70,,,
MRK,2026-01-15,110.97000122070312,RSI2>70,,,
MS,2026-01-15,191.22999572753903,RSI2>70,,,
NEE,2026-01-15,82.19000244140625,RSI2>70,,,
NEM,2026-01-15,114.20999908447266,RSI2>70,,,
NVDA,2026-01-15,187.0500030517578,RSI2>70,,,
PCG,2026-01-15,15.779999732971191,RSI2>70,,,
PEP,2026-01-15,146.57000732421875,RSI2>70,,,
PFE,2026-01-15,25.88999938964844,RSI2>70,,,
RF,2026-01-15,28.520000457763672,RSI2>70,,,
SBUX,2026-01-15,93.27999877929688,RSI2>70,,,
SCHW,2026-01-15,102.76000213623048,RSI2>70,,,
TFC,2026-01-15,50.27999877929688,RSI2>70,,,
TGT,2026-01-15,111.12999725341795,RSI2>70,,,
WDC,2026-01-15,222.1000061035156,RSI2>70,,,
