Ticker,ExitDate,ExitPrice,Notes,Date,Close,Rule
BA,2025-12-12,204.3800048828125,RSI2>70,,,
BAC,2025-12-12,55.13999938964844,RSI2>70,,,
BMY,2025-12-12,52.40999984741211,RSI2>70,,,
C,2025-12-12,111.8000030517578,RSI2>70,,,
CCL,2025-12-12,27.6200008392334,RSI2>70,,,
CFG,2025-12-12,58.38999938964844,RSI2>70,,,
CSX,2025-12-12,37.38999938964844,RSI2>70,,,
D,2025-12-12,59.33000183105469,RSI2>70,,,
DIS,2025-12-12,111.5999984741211,RSI2>70,,,
F,2025-12-12,13.760000228881836,RSI2>70,,,
FITB,2025-12-12,48.150001525878906,RSI2>70,,,
HBAN,2025-12-12,17.81999969482422,RSI2>70,,,
HST,2025-12-12,18.36000061035156,RSI2>70,,,
JNJ,2025-12-12,211.5800018310547,RSI2>70,,,
JPM,2025-12-12,318.5199890136719,RSI2>70,,,
KEY,2025-12-12,20.65999984741211,RSI2>70,,,
KO,2025-12-12,70.5199966430664,RSI2>70,,,
LUV,2025-12-12,41.16999816894531,RSI2>70,,,
MRK,2025-12-12,100.3000030517578,RSI2>70,,,
MRNA,2025-12-12,29.459999084472656,RSI2>70,,,
NEE,2025-12-12,81.6500015258789,RSI2>70,,,
NEM,2025-12-12,98.13999938964844,RSI2>70,,,
OMC,2025-12-12,80.25,RSI2>70,,,
PEP,2025-12-12,150.64999389648438,RSI2>70,,,
PFE,2025-12-12,25.850000381469727,RSI2>70,,,
SCHW,2025-12-12,96.6500015258789,RSI2>70,,,
TFC,2025-12-12,49.88999938964844,RSI2>70,,,
TGT,2025-12-12,97.08999633789062,RSI2>70,,,
USB,2025-12-12,53.41999816894531,RSI2>70,,,
VTRS,2025-12-12,11.649999618530272,RSI2>70,,,
WFC,2025-12-12,92.76000213623048,RSI2>70,,,
WMT,2025-12-12,116.6999969482422,RSI2>70,,,
