Ticker,ExitDate,ExitPrice,Notes,Date,Close,Rule
ABBV,2026-01-07,233.4199981689453,RSI2>70,,,
AMAT,2026-01-07,292.20001220703125,RSI2>70,,,
AMZN,2026-01-07,241.55999755859372,RSI2>70,,,
BMY,2026-01-07,56.720001220703125,RSI2>70,,,
CCL,2026-01-07,32.11000061035156,RSI2>70,,,
CNC,2026-01-07,45.77000045776367,RSI2>70,,,
CRM,2026-01-07,266.1199951171875,RSI2>70,,,
EQT,2026-01-07,54.4900016784668,RSI2>70,,,
F,2026-01-07,13.739999771118164,RSI2>70,,,
GILD,2026-01-07,124.3499984741211,RSI2>70,,,
GOOG,2026-01-07,322.42999267578125,RSI2>70,,,
GOOGL,2026-01-07,321.9800109863281,RSI2>70,,,
INTC,2026-01-07,42.630001068115234,RSI2>70,,,
JNJ,2026-01-07,207.4900054931641,RSI2>70,,,
LRCX,2026-01-07,203.0800018310547,RSI2>70,,,
LUV,2026-01-07,42.63999938964844,RSI2>70,,,
MCHP,2026-01-07,73.94000244140625,RSI2>70,,,
MDT,2026-01-07,99.7699966430664,RSI2>70,,,
MRK,2026-01-07,108.5999984741211,RSI2>70,,,
MRNA,2026-01-07,35.88999938964844,RSI2>70,,,
MSFT,2026-01-07,483.4700012207031,RSI2>70,,,
MU,2026-01-07,339.54998779296875,RSI2>70,,,
NCLH,2026-01-07,24.420000076293945,RSI2>70,,,
NEM,2026-01-07,108.01000213623048,RSI2>70,,,
NVDA,2026-01-07,189.1100006103516,RSI2>70,,,
ON,2026-01-07,61.88999938964844,RSI2>70,,,
PANW,2026-01-07,193.8999938964844,RSI2>70,,,
PLTR,2026-01-07,181.67999267578125,RSI2>70,,,
TGT,2026-01-07,103.66999816894533,RSI2>70,,,
UPS,2026-01-07,105.41000366210938,RSI2>70,,,
VTRS,2026-01-07,12.460000038146973,RSI2>70,,,
XYZ,2026-01-07,71.47000122070312,RSI2>70,,,
