Ticker,EntryDate,EntryPrice,Status
NI,2025-10-30,42.130001068115234,open
DDOG,2025-11-13,185.97000122070312,open
ROL,2025-11-13,57.61000061035156,open
BBY,2025-12-02,74.88999938964844,open
LEN,2025-12-08,120.70999908447266,open
DAY,2025-12-09,68.94999694824219,open
PEP,2025-12-18,149.3699951171875,open
TSLA,2025-12-26,475.1900024414063,open
LVS,2025-12-30,65.0999984741211,open
CSCO,2025-12-31,77.02999877929688,open
DD,2025-12-31,40.20000076293945,open
HPE,2025-12-31,24.020000457763672,open
AAPL,2026-01-06,262.3599853515625,open
AMD,2026-01-07,210.0200042724609,open
DVN,2026-01-07,34.470001220703125,open
JCI,2026-01-07,112.41000366210938,open
MGM,2026-01-07,34.119998931884766,open
ANET,2026-01-08,123.72000122070312,open
SCHW,2026-01-08,101.33999633789062,open
