Ticker,EntryDate,EntryPrice,Status
NI,2025-10-30,42.130001068115234,open
DDOG,2025-11-13,185.97000122070312,open
ROL,2025-11-13,57.61000061035156,open
BBY,2025-12-02,74.88999938964844,open
LEN,2025-12-08,120.70999908447266,open
DAY,2025-12-09,68.94999694824219,open
LVS,2025-12-30,65.0999984741211,open
HPE,2025-12-31,24.020000457763672,open
MGM,2026-01-07,34.119998931884766,open
V,2026-01-09,349.7699890136719,open
ABBV,2026-01-12,220.0399932861328,open
CRM,2026-01-12,259.3999938964844,open
BAC,2026-01-13,54.540000915527344,open
CNC,2026-01-13,45.7599983215332,open
COF,2026-01-13,231.41000366210932,open
F,2026-01-13,13.979999542236328,open
FITB,2026-01-13,48.130001068115234,open
HBAN,2026-01-13,17.5,open
JPM,2026-01-13,310.8999938964844,open
KEY,2026-01-13,20.850000381469727,open
QCOM,2026-01-13,165.2899932861328,open
RF,2026-01-13,27.84000015258789,open
SYF,2026-01-13,78.05999755859375,open
TFC,2026-01-13,49.68999862670898,open
USB,2026-01-13,54.04999923706055,open
AMZN,2026-01-14,236.6499938964844,open
C,2026-01-14,112.41000366210938,open
CCL,2026-01-14,30.18000030517578,open
DAL,2026-01-14,68.48999786376953,open
LUV,2026-01-14,42.54999923706055,open
NCLH,2026-01-14,23.09000015258789,open
WFC,2026-01-14,89.25,open
