Ticker,EntryDate,EntryPrice,Status
NI,2025-10-30,42.130001068115234,open
DDOG,2025-11-13,185.97000122070312,open
ROL,2025-11-13,57.61000061035156,open
BBY,2025-12-02,74.88999938964844,open
LEN,2025-12-08,120.70999908447266,open
DAY,2025-12-09,68.94999694824219,open
PEP,2025-12-18,149.3699951171875,open
UPS,2025-12-23,100.19000244140624,open
MDT,2025-12-24,97.2699966430664,open
CCL,2025-12-26,30.700000762939453,open
LUV,2025-12-26,41.27999877929688,open
ON,2025-12-26,54.93000030517578,open
TSLA,2025-12-26,475.1900024414063,open
APH,2025-12-30,136.1999969482422,open
BAC,2025-12-30,55.27999877929688,open
C,2025-12-30,117.20999908447266,open
DAL,2025-12-30,69.33999633789062,open
F,2025-12-30,13.229999542236328,open
HST,2025-12-30,18.290000915527344,open
JNJ,2025-12-30,206.91000366210932,open
JPM,2025-12-30,323.4200134277344,open
LVS,2025-12-30,65.0999984741211,open
MRNA,2025-12-30,30.40999984741211,open
PLTR,2025-12-30,180.83999633789065,open
TFC,2025-12-30,49.560001373291016,open
V,2025-12-30,353.6199951171875,open
WFC,2025-12-30,94.30999755859376,open
CSCO,2025-12-31,77.02999877929688,open
DD,2025-12-31,40.20000076293945,open
FCX,2025-12-31,50.790000915527344,open
FITB,2025-12-31,46.810001373291016,open
GM,2025-12-31,81.31999969482422,open
HBAN,2025-12-31,17.350000381469727,open
HPE,2025-12-31,24.020000457763672,open
KEY,2025-12-31,20.63999938964844,open
LRCX,2025-12-31,171.17999267578125,open
MRK,2025-12-31,105.26000213623048,open
NVDA,2025-12-31,186.5,open
PFE,2025-12-31,24.899999618530277,open
RF,2025-12-31,27.100000381469727,open
SCHW,2025-12-31,99.91000366210938,open
USB,2025-12-31,53.36000061035156,open
WDC,2025-12-31,172.27000427246094,open
