Date,Ticker,Close,DMA5,Rule
2026-01-06,APH,141.3800048828125,137.56600036621094,exit Close>=DMA5
2026-01-06,BAC,57.25,55.693999481201175,exit Close>=DMA5
2026-01-06,C,122.5,118.80599975585938,exit Close>=DMA5
2026-01-06,CCL,32.29999923706055,30.897999954223632,exit Close>=DMA5
2026-01-06,DAL,72.22000122070312,69.82999877929687,exit Close>=DMA5
2026-01-06,F,13.800000190734863,13.28799991607666,exit Close>=DMA5
2026-01-06,FCX,56.150001525878906,52.00400009155273,exit Close>=DMA5
2026-01-06,FITB,49.77999877929688,47.69799957275391,exit Close>=DMA5
2026-01-06,GM,82.18000030517578,82.14200134277344,exit Close>=DMA5
2026-01-06,HBAN,18.299999237060547,17.551999664306642,exit Close>=DMA5
2026-01-06,HST,18.26000022888184,18.138000106811525,exit Close>=DMA5
2026-01-06,JPM,334.6099853515625,325.7820068359375,exit Close>=DMA5
2026-01-06,KEY,21.56999969482422,20.937999725341797,exit Close>=DMA5
2026-01-06,LRCX,206.9600067138672,180.12999572753907,exit Close>=DMA5
2026-01-06,LUV,42.47999954223633,41.491999816894534,exit Close>=DMA5
2026-01-06,MDT,100.30999755859376,96.45600128173828,exit Close>=DMA5
2026-01-06,MRK,108.87000274658205,106.36600036621095,exit Close>=DMA5
2026-01-06,MRNA,35.65999984741211,30.815999603271486,exit Close>=DMA5
2026-01-06,ON,61.7599983215332,55.560000610351565,exit Close>=DMA5
2026-01-06,PFE,25.43000030517578,25.047999954223634,exit Close>=DMA5
2026-01-06,PLTR,179.7100067138672,176.93399658203126,exit Close>=DMA5
2026-01-06,RF,28.709999084472656,27.559999847412108,exit Close>=DMA5
2026-01-06,SCHW,103.56999969482422,101.41600036621094,exit Close>=DMA5
2026-01-06,TFC,51.18000030517578,49.80200042724609,exit Close>=DMA5
2026-01-06,UPS,105.22000122070312,100.30599975585938,exit Close>=DMA5
2026-01-06,USB,56.08000183105469,54.31800079345703,exit Close>=DMA5
2026-01-06,V,357.5599975585937,351.843994140625,exit Close>=DMA5
2026-01-06,WDC,219.3800048828125,180.71799926757814,exit Close>=DMA5
2026-01-06,WFC,96.38999938964844,94.7219970703125,exit Close>=DMA5
