Ticker,EntryDate,EntryPrice,Status
NI,2025-10-30,42.130001068115234,open
DDOG,2025-11-13,185.97000122070312,open
ROL,2025-11-13,57.61000061035156,open
VST,2025-11-13,171.55999755859375,open
LVS,2025-11-14,65.37999725341797,open
BBY,2025-12-02,74.88999938964844,open
GILD,2025-12-02,123.91000366210938,open
D,2025-12-03,60.02999877929688,open
MNST,2025-12-04,73.26000213623047,open
PEP,2025-12-04,146.91000366210938,open
AAPL,2025-12-05,278.7799987792969,open
JNJ,2025-12-05,201.92999267578125,open
LEN,2025-12-08,120.70999908447266,open
MRK,2025-12-08,98.93000030517578,open
NEE,2025-12-08,80.55000305175781,open
BAC,2025-12-09,53.540000915527344,open
DAY,2025-12-09,68.94999694824219,open
WMB,2025-12-09,61.54999923706055,open
